track_name,artist,bpm,energy,danceability,valence,genre
Warm Start,Nova Pulse,108,0.34,0.58,0.62,ambient pop
Steady Miles,The Cadence Lab,126,0.52,0.68,0.71,indie dance
Tempo Lock,Metro Signal,143,0.67,0.74,0.55,electropop
Threshold Lights,Carbon Avenue,159,0.84,0.79,0.48,synth rock
Final Sprint,Beat Circuit,176,0.93,0.81,0.42,edm
Sunrise Stride,Luna Harbor,132,0.57,0.76,0.86,nu disco
Focus Engine,Atlas Mode,150,0.72,0.69,0.50,electronic
Power Set,Rhythm Forge,166,0.88,0.73,0.33,industrial pop
Cool Down Drift,Blue Static,96,0.24,0.45,0.69,downtempo
Hill Repeat,Velocity Room,172,0.91,0.84,0.58,house
Happy Pace,Golden Relay,138,0.63,0.80,0.90,dance pop
Calm Cadence,Soft Current,118,0.41,0.61,0.66,chill pop
Aggro Drive,Redline Unit,162,0.89,0.66,0.28,alt rock
Endurance Flow,North Track,129,0.49,0.70,0.57,deep house
Race Day,Peak Theory,181,0.96,0.78,0.47,drum and bass
